metabolites_ID,U87MG,NSP
C00041,194.25,223.99
C00062,316.04,439.7
C00072,35.86,11.04
C00152,57.38,64.6
C00049,75.28,93.39
C00158,0.65,1.85
C00327,45.74,45.98
C00491,149.61,100.5
C00661,9.23,9.2
C00064,3110.34,1727.69
C00025,131.76,168.19
C00031,7936.01,8722.87
C00037,483.97,351.57
C00135,163.5,189.43
C00026,4.99,1.73
C00186,7444.53,10028.95
C00123,641.56,487.57
C00047,628.89,515.27
C00711,-6.09,-5.15
C01384,0.75,0.87
C00073,146.73,116.23
C00042,90.76,95.62
C00383,109.25,112.42
C00079,307.63,258.92
C00148,20.11,27.02
C00022,283.67,87.94
C00065,447.41,281.48
C00188,635.96,501.2
C00078,67.64,59.35
C00082,318.73,271.03
C00183,679.29,605.8
