IDs: Names
1: Cell type 1
24344:	2-phosphoglycerate
15999:	OH-phenylpyruvate
16320:	aminoisobutyrate
15793:	3-hydroxyanthranilate
17050:	3-phosphoglycerate
16865:	GABA
17879:	4-hydroxybenzoate
18095:	cis-hydroxyproline/trans-hydroxyproline
17405:	4-pyridoxate
27823:	5-HIAA
13705:	acetoacetate
16708:	adenine
16335:	adenosine
16680:	5'-adenosylhomocysteine
30915:	alpha-ketoglutarate
16977:	alanine
16027:	AMP
30754:	anthranilate
16467:	arginine
38290:	ascorbate
17196:	asparagine
17053:	aspartate
16990:	bilirubin
18261:	N-carbamoyl-beta-alanine
15727:	carnosine
15354:	choline
18132:	phosphocholine
30769:	citrate
16349:	citrulline
17361:	CMP
16919:	creatine
16347:	carnitine
16737:	creatinine
17482:	cystathionine
17562:	cytidine
17256:	2'-deoxyadenosine
15918:	dCMP
15698:	2'-deoxycytidine
16108:	DHAP
17724:	dimethylglycine
16450:	2'-deoxyuridine
17553:	phosphoethanolamine
27470:	folate
18012:	fumarate
16870:	alpha-glycerophosphocholine
17687:	glycocholate
36252:	glycodeoxycholate/glycochenodeoxycholate
15903:	glucose
42717:	glucuronate
18050:	glutamine
16015:	glutamate
15428:	glycine
5445:	glyceraldehyde
41139:	betaine
17754:	glycerol_1
15978:	alpha-glycerophosphate
17345:	GMP
17858:	glutathione oxidized
16344:	guanidinoacetate
17588:	homocysteine
166578:	 3-OH-kynurenate
15699:	homoserine
17368:	hypoxanthine
30887:	isocitrate
17191:	isoleucine
17202:	IMP
17596:	inosine
18344:	kynurenate
58672:	2-aminodipate
422: lactate
36219:	lactose
15603:	leucine
16946:	kynurenine
18019:	lysine
30797:	malate
16643:	methionine
15940:	niacin
17154:	niacinamide
37008:	nicotinic acid mononucleotide
15729:	ornithine
16742:	orotate
15842:	OMP
16995:	oxalate
44897:	PEP
17295:	phenylalanine
46905:	pantothenate
17272:	proprionate
17203:	proline
32816:	pyruvate
16675:	quinolinate
17924:	sorbitol
17115:	serine
16610:	spermidine
15746:	spermine
28790:	serotonin
15741:	succinate
17992:	sucrose
15891:	taurine
28865:	taurocholate
9407:	taurodeoxycholate/taurochenodeoxycholate
18385:	thiamine
16857:	threonine
17821:	thymine
17748:	thymidine
18332:	thyroxine
18258:	triiodothyronine
16828:	tryptophan
17895:	tyrosine
17200:	UDP-glucuronate
16695:	UMP
17568:	uracil
17775:	urate
16704:	uridine
16414:	valine
17712:	xanthine
15652:	XMP
18107:	xanthosine
