celltypes_ID,Metabolite,metabolites_ID,"edge_types (2 represents intake, 3 represents secretion and 5 represents intake and secretion)"
1,2-phosphoglycerate,24344,5
1,OH-phenylpyruvate,15999,5
1,aminoisobutyrate,16320,5
1,3-hydroxyanthranilate,15793,5
1,3-phosphoglycerate,17050,2
1,GABA,16865,5
1,4-hydroxybenzoate,17879,0
1,cis-hydroxyproline/trans-hydroxyproline,18095,2
1,4-pyridoxate,17405,2
1,5-HIAA,27823,3
1,acetoacetate,13705,5
1,adenine,16708,5
1,adenosine,16335,5
1,5'-adenosylhomocysteine,16680,0
1,alpha-ketoglutarate,30915,5
1,alanine,16977,3
1,AMP,16027,5
1,anthranilate,30754,5
1,arginine,16467,5
1,ascorbate,38290,5
1,asparagine,17196,5
1,aspartate,17053,5
1,bilirubin,16990,5
1,N-carbamoyl-beta-alanine,18261,5
1,carnosine,15727,2
1,choline,15354,2
1,phosphocholine,18132,5
1,citrate,30769,5
1,citrulline,16349,5
1,CMP,17361,5
1,creatine,16919,0
1,carnitine,16347,5
1,creatinine,16737,5
1,cystathionine,17482,0
1,cytidine,17562,5
1,2'-deoxyadenosine,17256,5
1,dCMP,15918,5
1,2'-deoxycytidine,15698,5
1,DHAP,16108,5
1,dimethylglycine,17724,2
1,2'-deoxyuridine,16450,5
1,phosphoethanolamine,17553,0
1,folate,27470,2
1,fumarate,18012,5
1,alpha-glycerophosphocholine,16870,3
1,glycocholate,17687,5
1,glycodeoxycholate/glycochenodeoxycholate,36252,5
1,glucose,15903,2
1,glucuronate,42717,0
1,glutamine,18050,2
1,glutamate,16015,5
1,glycine,15428,5
1,glyceraldehyde,5445,5
1,betaine,41139,5
1,glycerol_1,17754,5
1,alpha-glycerophosphate,15978,5
1,GMP,17345,5
1,glutathione oxidized,17858,5
1,guanidinoacetate,16344,5
1,homocysteine,17588,2
1,3-OH-kynurenate,166578,5
1,homoserine,15699,5
1,hypoxanthine,17368,5
1,isocitrate,30887,5
1,isoleucine,17191,2
1,IMP,17202,0
1,inosine,17596,5
1,kynurenate,18344,0
1,2-aminodipate,58672,0
1,lactate,422,3
1,lactose,36219,5
1,leucine,15603,2
1,kynurenine,16946,5
1,lysine,18019,5
1,malate,30797,2
1,methionine,16643,2
1,niacin,15940,0
1,niacinamide,17154,2
1,nicotinic acid mononucleotide,37008,2
1,ornithine,15729,5
1,orotate,16742,5
1,OMP,15842,5
1,oxalate,16995,5
1,PEP,44897,0
1,phenylalanine,17295,5
1,pantothenate,46905,5
1,proprionate,17272,5
1,proline,17203,5
1,pyruvate,32816,3
1,quinolinate,16675,5
1,sorbitol,17924,5
1,serine,17115,2
1,spermidine,16610,5
1,spermine,15746,5
1,serotonin,28790,2
1,succinate,15741,5
1,sucrose,17992,5
1,taurine,15891,5
1,taurocholate,28865,5
1,taurodeoxycholate/taurochenodeoxycholate,9407,5
1,thiamine,18385,0
1,threonine,16857,5
1,thymine,17821,0
1,thymidine,17748,0
1,thyroxine,18332,5
1,triiodothyronine,18258,5
1,tryptophan,16828,2
1,tyrosine,17895,2
1,UDP-glucuronate,17200,5
1,UMP,16695,2
1,uracil,17568,5
1,urate,17775,0
1,uridine,16704,2
1,valine,16414,2
1,xanthine,17712,3
1,XMP,15652,5
1,xanthosine,18107,5
