celltypes_ID,Metabolite,metabolites_ID,"edge_types (2 represents intake, 3 represents secretion and 5 represents intake and secretion)"
1,2-phosphoglycerate,24344,5
1,OH-phenylpyruvate,15999,5
1,aminoisobutyrate,16320,5
1,3-hydroxyanthranilate,15793,5
1,3-phosphoglycerate,17050,2
1,GABA,16865,5
1,4-hydroxybenzoate,17879,0
1,cis-hydroxyproline/trans-hydroxyproline,18095,2
1,4-pyridoxate,17405,2
1,5-HIAA,27823,3
1,acetoacetate,13705,5
1,adenine,16708,5
1,adenosine,16335,5
1,5'-adenosylhomocysteine,16680,0
1,alpha-ketoglutarate,30915,5
1,alanine,16977,5
1,AMP,16027,5
1,anthranilate,30754,5
1,arginine,16467,5
1,ascorbate,38290,5
1,asparagine,17196,5
1,aspartate,17053,5
1,bilirubin,16990,5
1,N-carbamoyl-beta-alanine,18261,5
1,carnosine,15727,2
1,choline,15354,5
1,phosphocholine,18132,5
1,citrate,30769,5
1,citrulline,16349,5
1,CMP,17361,5
1,creatine,16919,0
1,carnitine,16347,5
1,creatinine,16737,0
1,cystathionine,17482,0
1,cytidine,17562,5
1,2'-deoxyadenosine,17256,5
1,dCMP,15918,5
1,2'-deoxycytidine,15698,5
1,DHAP,16108,5
1,dimethylglycine,17724,2
1,2'-deoxyuridine,16450,5
1,phosphoethanolamine,17553,0
1,folate,27470,2
1,fumarate,18012,2
1,alpha-glycerophosphocholine,16870,3
1,glycocholate,17687,5
1,glycodeoxycholate/glycochenodeoxycholate,36252,5
1,glucose,15903,5
1,glucuronate,42717,0
1,glutamine,18050,5
1,glutamate,16015,5
1,glycine,15428,5
1,glyceraldehyde,5445,5
1,betaine,41139,5
1,glycerol_1,17754,5
1,alpha-glycerophosphate,15978,5
1,GMP,17345,5
1,glutathione oxidized,17858,5
1,guanidinoacetate,16344,5
1,homocysteine,17588,2
1,3-OH-kynurenate,166578,5
1,homoserine,15699,5
1,hypoxanthine,17368,5
1,isocitrate,30887,5
1,isoleucine,17191,5
1,IMP,17202,0
1,inosine,17596,5
1,kynurenate,18344,0
1,2-aminodipate,58672,0
1,lactate,422,5
1,lactose,36219,5
1,leucine,15603,5
1,kynurenine,16946,5
1,lysine,18019,5
1,malate,30797,2
1,methionine,16643,5
1,niacin,15940,0
1,niacinamide,17154,2
1,nicotinic acid mononucleotide,37008,2
1,ornithine,15729,3
1,orotate,16742,5
1,OMP,15842,5
1,oxalate,16995,5
1,PEP,44897,0
1,phenylalanine,17295,5
1,pantothenate,46905,5
1,proprionate,17272,5
1,proline,17203,5
1,pyruvate,32816,5
1,quinolinate,16675,5
1,sorbitol,17924,5
1,serine,17115,5
1,spermidine,16610,5
1,spermine,15746,5
1,serotonin,28790,2
1,succinate,15741,5
1,sucrose,17992,5
1,taurine,15891,5
1,taurocholate,28865,5
1,taurodeoxycholate/taurochenodeoxycholate,9407,5
1,thiamine,18385,0
1,threonine,16857,5
1,thymine,17821,0
1,thymidine,17748,0
1,thyroxine,18332,5
1,triiodothyronine,18258,5
1,tryptophan,16828,5
1,tyrosine,17895,5
1,UDP-glucuronate,17200,5
1,UMP,16695,2
1,uracil,17568,5
1,urate,17775,0
1,uridine,16704,2
1,valine,16414,2
1,xanthine,17712,3
1,XMP,15652,5
1,xanthosine,18107,5
2,2-phosphoglycerate,24344,5
2,OH-phenylpyruvate,15999,5
2,aminoisobutyrate,16320,5
2,3-hydroxyanthranilate,15793,5
2,3-phosphoglycerate,17050,2
2,GABA,16865,5
2,4-hydroxybenzoate,17879,0
2,cis-hydroxyproline/trans-hydroxyproline,18095,2
2,4-pyridoxate,17405,2
2,5-HIAA,27823,3
2,acetoacetate,13705,5
2,adenine,16708,5
2,adenosine,16335,5
2,5'-adenosylhomocysteine,16680,0
2,alpha-ketoglutarate,30915,5
2,alanine,16977,5
2,AMP,16027,5
2,anthranilate,30754,5
2,arginine,16467,5
2,ascorbate,38290,5
2,asparagine,17196,5
2,aspartate,17053,5
2,bilirubin,16990,5
2,N-carbamoyl-beta-alanine,18261,5
2,carnosine,15727,2
2,choline,15354,5
2,phosphocholine,18132,5
2,citrate,30769,5
2,citrulline,16349,5
2,CMP,17361,5
2,creatine,16919,0
2,carnitine,16347,5
2,creatinine,16737,0
2,cystathionine,17482,0
2,cytidine,17562,5
2,2'-deoxyadenosine,17256,5
2,dCMP,15918,5
2,2'-deoxycytidine,15698,5
2,DHAP,16108,5
2,dimethylglycine,17724,2
2,2'-deoxyuridine,16450,5
2,phosphoethanolamine,17553,0
2,folate,27470,2
2,fumarate,18012,2
2,alpha-glycerophosphocholine,16870,3
2,glycocholate,17687,5
2,glycodeoxycholate/glycochenodeoxycholate,36252,5
2,glucose,15903,5
2,glucuronate,42717,0
2,glutamine,18050,5
2,glutamate,16015,5
2,glycine,15428,5
2,glyceraldehyde,5445,5
2,betaine,41139,5
2,glycerol_1,17754,5
2,alpha-glycerophosphate,15978,5
2,GMP,17345,5
2,glutathione oxidized,17858,5
2,guanidinoacetate,16344,5
2,homocysteine,17588,2
2,3-OH-kynurenate,166578,5
2,homoserine,15699,5
2,hypoxanthine,17368,5
2,isocitrate,30887,5
2,isoleucine,17191,5
2,IMP,17202,0
2,inosine,17596,5
2,kynurenate,18344,0
2,2-aminodipate,58672,0
2,lactate,422,5
2,lactose,36219,5
2,leucine,15603,5
2,kynurenine,16946,5
2,lysine,18019,5
2,malate,30797,2
2,methionine,16643,5
2,niacin,15940,0
2,niacinamide,17154,2
2,nicotinic acid mononucleotide,37008,2
2,ornithine,15729,3
2,orotate,16742,5
2,OMP,15842,5
2,oxalate,16995,5
2,PEP,44897,0
2,phenylalanine,17295,5
2,pantothenate,46905,5
2,proprionate,17272,5
2,proline,17203,5
2,pyruvate,32816,5
2,quinolinate,16675,5
2,sorbitol,17924,5
2,serine,17115,5
2,spermidine,16610,5
2,spermine,15746,5
2,serotonin,28790,2
2,succinate,15741,5
2,sucrose,17992,5
2,taurine,15891,5
2,taurocholate,28865,5
2,taurodeoxycholate/taurochenodeoxycholate,9407,5
2,thiamine,18385,0
2,threonine,16857,5
2,thymine,17821,0
2,thymidine,17748,0
2,thyroxine,18332,5
2,triiodothyronine,18258,5
2,tryptophan,16828,5
2,tyrosine,17895,5
2,UDP-glucuronate,17200,5
2,UMP,16695,2
2,uracil,17568,5
2,urate,17775,0
2,uridine,16704,2
2,valine,16414,2
2,xanthine,17712,3
2,XMP,15652,5
2,xanthosine,18107,5
